AI011000011000875300016CK 33670     P 0505150000092.8900000000000.00
AI0110000110001200400093599          10512150001096.2806121500000.00
AI0110000110001209600093599          10512150000020.6106121500000.00
AI0110000110001253400083599          10513150000056.7806131500000.00
AI018300018300257900079             P10303150000707.8104301500000.00
AI018300018300257810078             P10304150001683.9304301500000.00
AI018300018300267270070-            P10312150000288.4904301500000.00
AI018300018300284450052             P10330150000309.0904301500000.00
AI018300018300290420049              10402150000804.4805301500000.00
AI018300018300061690030              10421150000090.7205221500000.00
AI018300018300309890028              10423150001322.4305301500000.00
AI018300018300313860028              10423150000018.8805301500000.00
AI018300018300313880028              10423150000217.7505301500000.00
AI018300018300314780027              10424150000074.7105301500000.00
AI018300018300315030027RANDY         10424150000082.6705301500000.00
AI018300018300320790022              10429150000364.3305301500000.00
AI018300018300316060017              10504150000080.0606301500000.76
AI018300018300326310016              10505150001201.0106301500011.44
AI018300018300338610006RANDY         10515150000226.0306301500002.15
AI0203050203051079100131017262       10508150002128.4106081500000.00
AI0203050203051279600061017262       10515150000107.4206151500000.00
AI0203050203051279900021017262       10519150000143.2206191500000.00
AI0203580203580088900550579         P10327150001201.1804271500000.00
AI0203580203580089000510579         P10331150000232.9705011500000.00
AI0203580203580090600510579         P10331150000110.9405011500000.00
AI0203580203580484300360597         P10415150000692.0305161500000.00
AI0203580203580826000220608          10429150000646.2805301500000.00
